기관명,기관구분,주소,홈페이지
전북대학교병원,상급종합병원,전라북도 전주시 덕진구 건지로 20 (금암동),
전북대학교병원,기초정신건강복지센터,"전라북도 전주시 덕진구 벚꽃로 55, 덕진진료실 2층",www.jjmind.com
전북도청 보건의료과,보건소,"전라북도 전주시 완산구 효자로 225, 10층",
전북신세계병원,기초정신건강복지센터,전라북도 군산시 대야면 백마길 16,www.ksmhc.or.kr
전성일정신건강의학과의원,의원,"서울특별시 노원구 노해로 457 5층 (상계동, 은성빌딩)",
전재진정신과의원,의원,"서울특별시 광진구 긴고랑로 64 2,3,4층 (중곡동)",
전종호정신건강의학과의원,의원,서울특별시 강북구 도봉로 405 (수유동),
전주시보건소,보건소,전라북도 전주시 완산구 전라감영로 33 ,
전지홍정신과의원,의원,"서울특별시 도봉구 도봉로 476 204호 (창동, 삼성쉐르빌퍼스티)",
전현수정신건강의학과의원,의원,"서울특별시 송파구 중대로 68 401호 (문정동, 훼미리 샤르망)",
정건연세정신과의원,의원,"인천광역시 부평구 부평대로 33 7층 (부평동, 창성빌딩)",
정경화정신건강의학과의원,의원,서울특별시 금천구 독산로 134 (시흥동),
정광설정신건강의학과의원,의원,대전광역시 중구 계백로 1717 2층 (오류동),
정다운정신건강의학과의원,의원,충청북도 청주시 흥덕구 사직대로 45-1 (복대동),
정다운집,정신재활시설,충청남도 부여군 외산면 외산로 79번길 31 1동 101호,www.junghouse.net
정맹환정신건강의학과의원,의원,광주광역시 남구 독립로 20 (백운동),
정빈의료재단 합덕아산병원,병원,충청남도 당진시 합덕읍 합덕시장로 174-1 (합덕읍),
정선군보건소,보건소,강원도 정선군 정선읍 녹송로 33,
정선주정신과의원,의원,"서울특별시 강남구 압구정로 224 209호 (신사동, 우미빌딩)",
정성군 정신건강복지센터,기초정신건강복지센터,강원도 정선군 정선읍 녹송로 33,www.jeongseon.go.kr
정성철정신건강의학과의원,의원,서울특별시 성북구 동소문로 20-1 지상3층 (동소문동2가),
정성훈정신건강의학과의원,의원,대구광역시 수성구 달구벌대로 2280 6층 (수성동1가),
정신경정신과의원,의원,충청남도 천안시 서북구 쌍용대로 8 3층 (쌍용동),
정신요양시설 천봉산요양원,정신요양시설,경상북도 상주시 만산8길 70,http://www.mental-treatment.com
정심수양원,정신요양시설,대구광역시 동구 팔공산로 254길 123,www.msjungsim.com
정심원,정신요양시설,전라북도 완주군 소양면 송광수만로 343번지,http://skjsw.org
정읍사랑병원,병원,전라북도 정읍시 상동중앙로 94 (상동),
정읍시보건소,보건소,전라북도 정읍시 수성1로 61 ,
정인과정신건강의학과의원,의원,서울특별시 구로구 가마산로 205 (구로동),
정인정신건강의학과의원,의원,광주광역시 서구 무진대로 935 3층 (광천동),
정일성정신건강의학과의원,의원,전라북도 군산시 중앙로 71 (중앙로3가),
정재훈정신건강의학과의원,의원,대구광역시 수성구 달구벌대로 2421 7층 (범어동),
정진의료재단 영화병원,기초정신건강복지센터,인천광역시 남동구 인주대로819 문화빌딩 6층,www.ndmhc.or.kr
정진정신건강의학과의원,의원,경기도 수원시 팔달구 인계로138번길 8 수원인계 리슈빌S 201호 (인계동),
정청정신건강의학과의원,의원,"경상남도 창원시 마산회원구 3·15대로 773 (합성동, 정청신경외과)",
정태영정신건강의학과의원,의원,"부산광역시 해운대구 좌동순환로 505 701호, 702-1호 (중동)",
정학송정신건강의학과의원,의원,경상남도 진주시 비봉로24번길 14 (중안동),
정형모정신건강의학과의원,의원,부산광역시 부산진구 가야대로 456 8층 (개금동),
정환증정신건강의학과의원,의원,경상남도 창원시 마산회원구 3·15대로 765-1 (합성동),
정희진정신건강의학과의원,의원,서울특별시 서초구 남부순환로 2652 4층 (양재동),
제이미주병원,병원,대구광역시 달성군 다사읍 달구벌대로 893 893,
제이민정신건강의학과의원,의원,"경기도 하남시 미사강변동로84번길 39 에코타워 501, 502호 (망월동)",
제일신경정신과의원,의원,"경상남도 창원시 마산합포구 가포로 12 (해운동, 선진상가)",
제일정신건강의학과의원,의원,광주광역시 북구 동문대로 123 3층 (우산동),
제일정신건강의학과의원,의원,강원도 태백시 황지로 79-1 (황지동),
제일정신과의원,의원,전라북도 김제시 중앙로 103 (요촌동),
제일정신과의원,의원,경기도 고양시 일산동구 중앙로 1172 (마두동),
제주대학교병원,국립,제주특별자치도 제주시 아란13길 15,
제주대학교병원,종합병원,제주특별자치도 제주시 아란13길 15- 제주대학교병원 (아라일동),
제주대학교병원,광역정신건강복지센터,제주특별자치도 제주시 아란 13길 15 제주대학교병원 내 별관 2층,www.jejumind.or.kr
제주도청 보건위생과/노인장애인복지과,보건소,제주특별자치도 제주시 문연로 6,
제주시보건소,보건소,제주특별자치도 제주시 연삼로 264 ,
제주정신재활센터,정신재활시설,"제주특별자치도 제주시 동광로 1길11, 4층 ",www.jejumental.or.kr
제주특별자치도 서귀포의료원,공립,제주특별자치도 서귀포시 장수로 47(동홍동),
제주특별자치도 서귀포의료원,종합병원,제주특별자치도 서귀포시 장수로 47 (동홍동),
제주특별자치도 제주의료원,공립,제주특별자치도 제주시 산천단 남길 10,
제주특별자치도제주의료원,병원,제주특별자치도 제주시 산천단남길 10 제주의료원 (아라일동),
제주한라병원,종합병원,제주특별자치도 제주시 도령로 65- (연동),
제천시보건소,보건소,충청북도 제천시 의림대로 242 ,
조광신경정신과의원,의원,"서울특별시 광진구 능동로 380 (중곡동,(2,3,4층))",
조광현정신건강의학과의원,의원,전라북도 전주시 완산구 장승배기로 208 2층 202호 (평화동1가),
조규형신경정신과의원,의원,인천광역시 미추홀구 경인로 431 (주안동),
조남현정신건강의학과의원,의원,"서울특별시 강남구 압구정로 228 3층 301호 (신사동, 대웅빌딩)",
조동환정신건강의학과의원,의원,부산광역시 부산진구 서면로 64 (부전동),
조맹제정신건강의학과의원,의원,"서울특별시 영등포구 당산로 133 303호 (당산동3가, 서림빌딩)",
조선대학교 사회복지회,중독관리통합지원센터,"광주광역시 동구 금남로166(금남로5가, 대화빌딩3층)",www.광주동구중독관리센터.kr
조선대학교병원,상급종합병원,광주광역시 동구 필문대로 365 (학동),
조영래정신건강의학과의원,의원,경기도 부천시 부천로 17 (심곡동),
조용희신경정신과의원,의원,대전광역시 중구 계룡로 845 (용두동),
조은정신건강의학과의원,의원,"인천광역시 서구 원당대로 860 보람프라자 7층, 803호 (당하동)",
조정신건강의학과의원,의원,충청북도 영동군 영동읍 중앙로 41 모아빌딩,
조중근정신과의원,의원,"경기도 고양시 덕양구 호국로 792 (성사동, 천일빌딩)",
조현우정신건강의학과의원,의원,경기도 성남시 분당구 백현로101번길 17 초림프라자 3층 309호 (수내동),
조현정신건강의학과의원,의원,대전광역시 중구 대종로 472 1~4층 (은행동),
종로 행복일굼터,정신재활시설,서울특별시 종로구 종로43길 9,www.jnhappy.co.kr
종로구보건소,보건소,서울특별시 종로구 자하문로 19길 36 ,
종로아이존,정신재활시설,서울특별시 종로구 자하문로 89,www.jongnoaizone.or.kr
종로정신건강의학과의원,의원,대구광역시 동구 동부로 168 2층 (신천동),
좋은 마음 정신건강의학과 의원,의원,강원도 원주시 서원대로 162 601호 (단계동),
좋은꿈정신건강의학과의원,의원,"경기도 성남시 수정구 산성대로 309 3층 (신흥동, 고려빌딩)",
좋은나무,정신재활시설,"서울특별시 중랑구 동일로92길 39-21, 202호",igonggam.net
좋은날 ,정신재활시설,"경기도 평택시 통미로18, 가원빌라 가동 301호",
좋은마음정신과의원,의원,경기도 수원시 장안구 대평로 86 303호 (정자동),
좋은문화병원,종합병원,부산광역시 동구 범일로 119 (범일동),
좋은사람들,정신재활시설,서울특별시 영등포구 도림로 188-1(대림동),www.postivepeople.or.kr
좋은생각정신건강의학과의원,의원,경기도 부천시 중동로 100 3층 307호 (중동),
좋은세상,정신재활시설,충청남도 천안시 동남구 구성12길 28-1,www.good3328.co.kr
좋은우리,정신재활시설,"충청남도 천안시 동남구 다가말 2길45, 403호",http://caf?.daum.net/goodwe3327
좋은이웃,정신재활시설,충청남도 아산시 음봉면 음봉로 681번길 75,http://goodness.or.kr
좋은이웃센터,정신재활시설,대전광역시 중구 대흥로 171(대흥동),cafe.naver.com/goodnaver8582
좋은정신건강의학과의원,의원,"경기도 안양시 동안구 경수대로 536 503호 (호계동, 정안빌딩)",
좋은정신건강의학과의원,의원,서울특별시 서대문구 수색로 40 4층 (남가좌동),
좋은친구들,정신재활시설,울산광역시 울주군 온산읍 신경10길 12,www.u-goodfriends.com
좋은하루정신건강의학과의원,의원,경기도 용인시 기흥구 동백중앙로 273 동백 훼미리프라자Ⅱ 3층 303호 (중동),
주순애원,정신재활시설,경상남도 고성군 고성읍 우산2길312,http://jshlove.co.kr
주열정신건강의학과의원,의원,대구광역시 중구 달구벌대로 2202 2층 201호 (대봉동),
주정신건강의학과의원,의원,"서울특별시 마포구 서강로 144 403호 (노고산동, 동인빌딩)",
중구보건소,보건소,서울특별시 중구 다산로 39길 16,
중구보건소,보건소,부산광역시 중구 중구로 120 ,
중구보건소,보건소,대구광역시 중구 태평로 45 ,
중구보건소,보건소,인천광역시 중구 참외전로 72번길 21 ,
중구보건소,보건소,대전광역시 중구 산성로 63 ,
중구보건소,보건소,울산광역시 중구 외솔큰길 225 ,
중구아이존,정신재활시설,서울특별시 중구 서소문로6길 16,www.jaizone.or.kr
중랑구보건소,보건소,서울특별시 중랑구 봉화산로 179,
중랑한울지역 정신건강센터,정신재활시설,서울특별시 중랑구 용마산로 115길 65 우주빌딩 4층,www.1woollove.or.kr
중앙대학교병원,상급종합병원,서울특별시 동작구 흑석로 102 (흑석동),
중앙신경정신과의원,의원,대전광역시 중구 동서대로 1319 (용두동),
중앙정신건강의학과의원,의원,전라북도 정읍시 중앙1길 66-1 (수성동),
중흥병원,병원,광주광역시 북구 경양로 154 (중흥동),
증평군보건소,보건소,충청북도 증평군 증평읍 보건복지로 64-1 ,
지상정신건강의학과의원,의원,충청남도 아산시 번영로234번길 2 (모종동),
지성병원,병원,"인천광역시 미추홀구 아암대로 109 (용현동, 5, 6, 7, 8층)",
지성정신건강의학과의원,의원,"경기도 수원시 영통구 봉영로 1606 208호 (영통동, 미네시티)",
지앤지병원,병원,"서울특별시 강남구 영동대로 626 2~10층 (삼성동, GNG병원빌딩)",
지음정신건강의학과의원,의원,서울특별시 중랑구 면목로 495 이레빌딩 701호 (상봉동),
지음정신건강의학과의원,의원,서울특별시 송파구 올림픽로 116-1 신원빌딩 5층 (잠실동),
지정신건강의학과의원,의원,대전광역시 서구 둔산중로 50 4층 401호 (둔산동),
지정신건강의학과의원,의원,대전광역시 중구 중앙로 10 2층 (문화동),
지혜병원,병원,서울특별시 동대문구 천호대로 421 (장안동),
지혜샘정신건강의학과의원,의원,서울특별시 용산구 한강대로 297 우신빌딩 4층 (갈월동),
진도군 정신건강복지센터,기초정신건강복지센터,전라남도 진도군 진도읍 남동1길 40-9,
진도군보건소,보건소,전라남도 진도군 진도읍 남동1길 40-9 ,
진산요양원,정신요양시설,전라남도 나주시 노안면 노안삼도로 507-22,www.진산요양원.kr
진심정신건강의학과의원,의원,"서울특별시 강남구 테헤란로 141 703호 (역삼동, KR타워)",
진안군 정신건강복지센터,기초정신건강복지센터,전라북도 진안군 진무로 1189,business.jinan.go.kr
진안군보건소,보건소,전라북도 진안군 진안읍 진무로 1189,
진접정신건강의학과의원,의원,경기도 남양주시 진접읍 장현천로 28 701호,
진정신건강의학과의원,의원,"부산광역시 동래구 충렬대로 239 5층 501호 (수안동, 수안메디칼센터)",
진주시 정신건강복지센터,기초정신건강복지센터,경상남도 진주시 문산읍 월아산로 983,www.jinju.go.kr
진주시보건소,보건소,경상남도 진주시 월아산로 2026,
진주정신건강의학과의원,의원,경상남도 진주시 진주대로 871 2층 (주약동),
진천군보건소,보건소,충청북도 진천군 진천읍 중앙북 1길 11-8 ,
집으로,정신재활시설,경기도 수원시 권선구 정조로432 미영A 110동 102호,gotohome.or.kr
징검다리,정신재활시설,경상북도 안동시 경동로 1047-1번지 2층,www.ds-21.com/dshouse
차의과학대학교 강남차병원,종합병원,"서울특별시 강남구 논현로 566 (역삼동, 역삼동 606-4)",
차의과학대학교부속구미차병원,종합병원,경상북도 구미시 신시로10길 12 (형곡동),
차의과학대학교분당차병원,종합병원,경기도 성남시 분당구 야탑로 59 (야탑동),
차지현정신건강 의학과의원,기초정신건강복지센터,인천광역시 계양구 장기서로8 장기보건지소 3층,www.inmind.or.kr
차지현정신건강의학과의원,의원,"인천광역시 연수구 청능대로 109 5층 (연수동, 탑피온빌딩)",
참누리정신건강상담센터,정신재활시설,대구광역시 북구 대학로 133,chamnuri00.wixsite.com/chamnuri
참다남병원,병원,대전광역시 중구 보문로 254 (대흥동),
참마음,정신재활시설,전라북도 익산시 황등면 황등중앙로 112,www.chammimd.kr
참마음정신건강의학과의원,의원,대구광역시 서구 달서로 201 201호 (비산동),
참사랑낙원,정신요양시설,전라북도 전주시 완산구 바람쐬는길 152,www.cmrc.or.kr
참사랑정신건강의학과의원,의원,광주광역시 북구 북문대로 37 5층 (운암동),
참사랑정신과의원,의원,"경기도 고양시 일산서구 일현로 47 (탄현동, 예일큰프라자 304호,404호 일부, 5층 일부)",
참살이클럽하우스,정신재활시설,부산광역시 동래구 중앙대로 1331(3층),www.chamsari.or.kr
참소중한당신정신과의원,의원,대구광역시 동구 화랑로 109 4층 (효목동),
참정신건강의학과의원,의원,"인천광역시 남동구 인하로 497-5 13층 3호 (구월동, 푸른세상안과)",
참정신건강의학과의원,의원,부산광역시 북구 만덕대로 12 (덕천동),
참조은병원,종합병원,경기도 광주시 광주대로 45 (경안동),
참좋은집,정신재활시설,강원도 강릉시 강릉대로 419번길 42,http://blog.naver.com/chamzip
창녕군 정신건강복지센터,기초정신건강복지센터,경상남도 창녕군 창녕읍 우포2로 1189-35,
창녕군보건소,보건소,경상남도 창녕군 창녕읍 우포2로 1189-35 ,
창원경상대학교병원,광역정신건강복지센터,경상남도 창원시 의창구 동읍 동읍로 457번길 48,www.gnmhc.or.kr
창원경상대학교병원,국립,경상남도 창원시 성산구 삼정자로 11,
창원경상대학교병원,종합병원,"경상남도 창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",
창원시 마산 정신건강복지센터,기초정신건강복지센터,경상남도 창원시 마산합포구 월영동북로 15,www.changwon.go.kr
창원시 마산보건소,보건소,경상남도 창원시 마산합포구 월영동북로 15 ,
창원시 진해 정신건강복지센터,기초정신건강복지센터,경상남도 창원시 진해구 중원동로 62 진해서부보건지소 3층,www.mind.changwon.go.kr
창원시 진해보건소,보건소,경상남도 창원시 진해구 진해대로 1101,
창원시 창원보건소,보건소,경상남도 창원시 의창구 중앙대로 162번길 9,
창원정신건강의학과의원,의원,경상남도 창원시 성산구 원이대로 578 구트병원빌딩 403호 (중앙동),
창평우리병원,병원,전라남도 담양군 대덕면 차동길 2-62 (),
채움정신건강의학과의원,의원,경기도 부천시 길주로 221 씨티오피스 301호 (중동),
천안센텀정형외과신경외과병원,병원,충청남도 아산시 배방읍 고속철대로 147 (),
천안시 동남구보건소,보건소,충청남도 천안시 동남구 버들로 34 ,
천안시 서북구보건소,보건소,충청남도 천안시 서북구 번영로 156 ,
천안시 정신건강복지센터,기초정신건강복지센터,충청남도 천안시 동남구 버들로 40 ,
천안시자살예방센터,자살예방센터,충청남도 천안시 서북구 서부 8길 29 (성정동 684-1),www.cancaspi.or.kr
천용준정신건강의학과의원,의원,부산광역시 남구 용호로 50 4층 (용호동),
천주의성요한수도회,기초정신건강복지센터,광주광역시 동구 서남로 1 동구보건소 2층,www.hmt.or.kr
철원군 정신건강복지센터,기초정신건강복지센터,강원도 철원군 갈말읍 군탄로16,www.health.cwg.go.kr
철원군보건소,보건소,강원도 철원군 갈말읍 군탄로 16,
첨단우암병원,병원,광주광역시 북구 앰코로 6-0 첨단우암병원,
첨단종합병원,종합병원,광주광역시 광산구 첨단중앙로170번길 59 (쌍암동),
청담성모정신건강의학과의원,의원,충청남도 예산군 예산읍 예산로 189 소헌메디컬빌딩 6층,
청담정신건강의학과의원,의원,"대전광역시 유성구 계룡로 84 (봉명동, 레자미3차)",
청도군보건소,보건소,경상북도 청도군 화양읍 청화로 79-11 ,
청도동산병원,병원,경상북도 청도군 매전면 청려로 3757 (),
청도메타병원,기초정신건강복지센터,경상북도 청도군 화양읍 청화로79-15,http://www.cheongdo.go.kr/open.content/health/
청량리정신건강의학과의원,의원,서울특별시 동대문구 왕산로 236 1층 (전농동),
청소년사회 복귀시설 비상,정신재활시설,서울특별시 관악구 남부순환로 2054 광일빌딩 4층,www.visang.or.kr
청송군 정신건강복지센터,기초정신건강복지센터,경상북도 청송군 청송읍 의료원길 19,http://www.cs.go.kr/countyOffice/health.web
청송군보건의료원,보건소,경상북도 청송군 청송읍 의료원길 19 ,
청송진보병원,병원,경상북도 청송군 진보면 경동로 4003 (진보면),
청심병원,병원,광주광역시 동구 동산길 14-2 (운림동),
청아의료재단 동서병원,기초정신건강복지센터,경상남도 창원시 의창구 중앙대로 162번길 9,www.cwmhc.or.kr
청아의료재단 동서병원,중독관리통합지원센터,경상남도 창원시 의창구 중앙대로 162번길 9(신월동) 창원보건소 4층,www.cwacc.or.kr
청아정신건강의학과의원,의원,경기도 오산시 대원로 3 3층 (오산동),
청아정신건강의학과의원,의원,"경기도 고양시 일산서구 중앙로 1455 306호 (주엽동, 대우시티프라자)",
청양군 정신건강복지센터,기초정신건강복지센터,충청남도 청양군 청양읍 칠갑산로7길 54,www.health.cheongyang.go.kr
청양군보건의료원,보건소,충청남도 청양군 청양읍 칠갑산로7길 54,
청원사회복귀시설,정신재활시설,충청북도 청주시 청원구 북이면 신대석성로 121-11,
청주밝은정신건강의학과의원,의원,충청북도 청주시 흥덕구 풍산로 15 메가폴리스 401호 (가경동),
청주성모병원,종합병원,충청북도 청주시 청원구 주성로 173-19 (주중동),
청주시 상당구보건소,보건소,충청북도 청주시 상당구 남일면 단재로 480 소,
청주시 서원구보건소,보건소,충청북도 청주시 서원구 사직대로 227,
청주시 청원구보건소,보건소,충청북도 청주시 청원구 오창읍 과학산업3로 238,
청주시 흥덕구보건소,보건소,충청북도 청주시 흥덕구 비하로12번길 46 (비하동) ,
청주의료원,기초정신건강복지센터,"충청북도 청주시 서원구 구룡산로 235, 4층",www.cjmental.co.kr
청주의료원,중독관리통합지원센터,충청북도 청주시 상당구 대성로 172번길 21. 3층,www.cjacc.or.kr
청주정신건강센터,정신재활시설,충청북도 청주시 서원구 청남로 2124,www.cjmhc.or.kr
청주정신건강의학과의원,의원,충청북도 청주시 서원구 사직대로 112 3층 (사창동),
청평우리병원,병원,경기도 가평군 청평면 경춘로 791-11 791,
최기은정신건강의학과의원,의원,인천광역시 부평구 열우물로 21 (십정동),
최명기정신건강의학과의원,의원,서울특별시 서초구 잠원로 24 408-1호 (반포동),
최명수정신건강의학과의원,의원,전라북도 전주시 덕진구 백제대로 685 1층 (금암동),
최병훈정신건강의학과의원,의원,경상남도 창원시 진해구 충장로 133 (여좌동),
최석주정신건강의학과의원,의원,경상남도 김해시 삼계중앙로 35 403호 (삼계동),
최수호신경정신과의원,의원,서울특별시 서초구 강남대로 341 삼원빌딩 8호 (서초동),
최시영정신건강의학과의원,의원,"경기도 군포시 고산로 693 402호 (산본동, 하나로프라자)",
최신경정신건강의학과의원,의원,광주광역시 광산구 상무대로 256 송정빌딩 3층 (송정동),
최신경정신과의원,의원,전라북도 남원시 용성로 112 (죽항동),
최신경정신과의원,의원,서울특별시 서초구 강남대로53길 7 강남애니타워 302호 (서초동),
최영정신과의원,의원,광주광역시 동구 제봉로 64 4층 (남동),
최영태정신건강의학과의원,의원,부산광역시 부산진구 범일로 135 6층 (범천동),
최영택정신건강의학과의원,의원,경상북도 김천시 중앙공원1길 7-6 (남산동),
최인광정신건강의학과의원,의원,"서울특별시 강남구 학동로 443 301호 (청담동, 정한빌딩)",
최인석정신건강의학과의원,의원,충청북도 청주시 상당구 중흥로 54 4층 (용암동),
최인철정신건강의학과의원,의원,제주특별자치도 제주시 1100로 3347 7층 (노형동),
최정신건강의학과의원,의원,"부산광역시 연제구 중앙대로 1111 (연산동, 8층 일부)",
최종배정신건강의학과의원,의원,"서울특별시 서초구 남부순환로350길 4 301호 (양재동, 대진빌딩)",
최종영신경정신과의원,의원,전라남도 순천시 대석길 20 (연향동),
최중철정신건강의학과의원,의원,경기도 오산시 역광장로 71 (오산동),
최태영정신건강의학과의원,의원,서울특별시 동대문구 천호대로 295 3층 7호 (답십리동),
추동호정신과의원,의원,대구광역시 북구 검단로 3 (산격동),
축령복음병원,기초정신건강복지센터,경기도 남양주시 경춘로 1037 남양주1청사 신관1층,www.ourmind.co.kr
축령정신과의원,의원,경기도 남양주시 화도읍 마석중앙로 78 4층 (메디닥터빌딩),
춘천마음숲정신건강의학과의원,의원,강원도 춘천시 금강로 67-1 3층 (조양동),
춘천시보건소,보건소,강원도 춘천시 중앙로 135 ,
춘천시자살예방센터,자살예방센터,강원도 춘천시 효제길 35,jungsinbo@hanmail.net
춘천예현병원,병원,강원도 춘천시 서면 샛말길 122-11 122,
춘천정신건강의학과의원,의원,강원도 춘천시 퇴계로 184 (석사동),
충남대학교 간호과학연구소,기초정신건강복지센터,충청남도 금산군 금산읍 금산로 1559 다락원스포츠센터 내 1층,www.gsmind.net
충남대학교 산학협력단,기초정신건강복지센터,충청북도 옥천군 옥천읍 삼양로 8길 10,www.okmind.or.kr
충남대학교병원,기초정신건강복지센터,대전광역시 동구 현암로 22(삼성동),www.ddmhc.or.kr
충남대학교병원,기초정신건강복지센터,세종특별자치시 조치원읍 수원지1길16 세종시립의원 2층,www.sjcmhc.com
충남대학교병원,국립,대전광역시 중구 문화로 282(대사동),
충남대학교병원,상급종합병원,대전광역시 중구 문화로 282 (대사동),
충남도청 건강증진식품과,보건소,충청남도 홍성군 홍북면 충남대로 21 (본관동) ,
충무사랑병원,병원,충청남도 천안시 서북구 성정공원1길 9 (성정동),
충북대학교병원,국립,충청북도 청주시 서원구 1순환로 776,
충북대학교병원,상급종합병원,충청북도 청주시 서원구 1순환로 776-0 (개신동),
충북대학교병원,광역정신건강복지센터,충청북도 청주시 서원구 1순환로 771,www.cbmind.or.kr
충북대학교병원,기초정신건강복지센터,충청북도 청주시 상당구 남일면 단재로 480,www.bestsangdangcenter.or.kr
충북도청 보건정책과,보건소,충청북도 청주시 상당구 상당로 82 (문화동) ,
충주시보건소,보건소,충청북도 충주시 으뜸로 21 ,
충주어울림센터,정신재활시설,충청북도 충주시 도장관주로 34-12,www.ksdw.or.kr/cjoulim
충청남도 서산의료원,종합병원,충청남도 서산시 중앙로 149 (석림동),
충청남도 홍성의료원,공립,충청남도 홍성군 홍성읍 조양로 224,
충청남도 홍성의료원,종합병원,충청남도 홍성군 홍성읍 조양로 224 (),
충청북도 청주의료원,공립,충청북도 청주시 서원구 흥덕로 48,
충청북도 청주의료원,종합병원,충청북도 청주시 서원구 흥덕로 48 (사직동),
치료감호소,국립,충청남도 공주시 반포면 반포초교길 253,
치유나무정신건강의학과의원,의원,"경기도 고양시 일산동구 정발산로 43-20 307호 (장항동, 센트럴프라자)",
치유숲정신건강의학과의원,의원,전라북도 전주시 완산구 서원로 320 (중화산동1가),
치유정신건강의학과의원,의원,경상남도 진주시 동진로 182 4층 (상대동),
치유정신건강의학과의원,의원,서울특별시 은평구 은평로 121 13층 (응암동),
칠곡경대정신건강의학과의원,의원,대구광역시 북구 칠곡중앙대로 393 2층 (태전동),
칠곡경북대학교병원,국립,대구광역시 북구 호국로 807,
칠곡경북대학교병원,상급종합병원,대구광역시 북구 호국로 807 칠곡경북대학교병원 (학정동),
칠곡군보건소,보건소,경상북도 칠곡군 왜관읍 관문로1길 30 ,
칠곡동아정신건강의학과의원,의원,대구광역시 북구 칠곡중앙대로 428 4층 (읍내동),
칠곡시몬병원,기초정신건강복지센터,경상북도 칠곡군 왜관읍 관문로1길 30,www.cgmental.co.kr
칠곡연합정신건강의학과의원,의원,대구광역시 북구 칠곡중앙대로 400 2층 (태전동),
카톨릭대학교 산학협력단,기초정신건강복지센터,경기도 시흥시 호현로 55,
카프성모병원,병원,"경기도 고양시 일산동구 일산로 86 (백석동, 한국음주문화센터)",
카프여성거주시설,정신재활시설,서울특별시 마포구 성미산로5길 50-15,www.karfwtc.com
카프이용센터,정신재활시설,경기도 고양시 일산동구 일산로 86,www.karfcenter.or.kr
카프치료 공동체 둥지,정신재활시설,"서울특별시 은평구 연서로 37가길 10-10, 201호",karfnest.smpon.kr
카프치료공동체 감나무집,정신재활시설,서울특별시 마포구 연남동 565-37,karftc.or.kr
컴넷하우스,정신재활시설,부산광역시 수영구 망미배산로 76번나길 27,cnh.bulgukto.or.kr
쿨쿨정신건강의학과의원,의원,부산광역시 부산진구 서전로 7 4층 (부전동),
큰빛병원,기초정신건강복지센터,"울산광역시 남구 삼산중로 132(삼산동, 남구보건소 3층)",www.usmhc.or.kr
큰빛병원,병원,울산광역시 남구 문수로457번길 5 (신정동),
큰빛웅촌병원,병원,울산광역시 울주군 웅촌면 웅촌로 685 (),
클럽하우스 해피투게더,정신재활시설,인천광역시 계양구 계양산로 19(2층),www.clubhappy.or.kr
탑동병원,병원,제주특별자치도 제주시 탑동로 26 (삼도이동),
탑정신건강의학과의원,의원,서울특별시 강남구 강남대로 408 YBM강남센터 12층 (역삼동),
태능성심정신건강의학과의원,의원,서울특별시 노원구 동일로 987 2층 (공릉동),
태백시보건소,보건소,강원도 태백시 태백로 905 ,
태안군 정신건강복지센터,기초정신건강복지센터,충청남도 태안군 태안읍 서해로 1952-16,
태안군보건의료원,보건소,충청남도 태안군 태안읍 서해로 1952-16,
태원정신건강의학과의원,의원,전라남도 목포시 교육로 77 3층 (상동),
태화샘솟는집,정신재활시설,서울특별시 마포구 아현동 772,www.fountainhouse.or.kr
태화해뜨는샘,정신재활시설,서울특별시 강남구 광평로 185 태화기독교사회복지관 3층,www.sunrising.org
태훈의료재단,기초정신건강복지센터,경상북도 봉화군 봉화읍 봉화로 1203,www.bhmhwc.com
토마스정신과의원,의원,서울특별시 강남구 논현로150길 26 5층 (논현동),
통영시 정신건강복지센터,기초정신건강복지센터,"경상남도 통영시 안개4길 108,3층",www.tongyeong.go.kr/health
통영시보건소,보건소,경상남도 통영시 안개4길 108 ,
통영정신건강의학과의원,의원,"경상남도 통영시 중앙로 289 4층 402호 (북신동, 그랜드빌딩)",
통통샤인정신건강의학과의원,의원,부산광역시 부산진구 가야대로 775 3층 (부전동),
튼튼어린이병원,병원,"경기도 의정부시 평화로 647 미건메디컬프라자 지하 1,2,3층 (의정부동)",
파란마음,정신재활시설,"서울특별시 은평구 갈현로 33길 32, 201호",saramsarang.or.kr
파랑새둥지,정신요양시설,충청남도 아산시 신창면 온천대로 842번길 111,www.psnest.co.kr
파주시보건소,보건소,경기도 파주시 후곡로 13 ,
파주시정신건강복지센터(부설) 자살예방센터,자살예방센터,경기도 파주시 봉천로 68 파주건강증진센터 1층,www.pajumind.org
파주정신건강의학과의원,의원,"경기도 파주시 청암로17번길 33 506호 (목동동, 현대메디컬프라자)",
판교정신건강의학과의원,의원,경기도 성남시 분당구 운중로 122 골드클래스 503호 (운중동),
펴나난정신건강의학과의원,의원,경상북도 구미시 야은로 305 A동 5층 501-1호 (도량동),
편한마음정신건강의학과의원,의원,"경기도 광명시 광명로 906 4층 401호 (광명동, 현대아이타워)",
편한마음정신과의원,의원,서울특별시 은평구 서오릉로 140 3층 (대조동),
평안한사랑병원,병원,경기도 오산시 수목원로 606 오산세교CL타워 6층 (세교동),
평온정신건강의학과의원,의원,"서울특별시 강동구 양재대로 1477 6층 602호 (길동, 삼환빌딩)",
평온정신과의원,의원,경기도 부천시 경인로 511 502호 (괴안동),
